model,window,predicted_label,prob_No Flare,prob_B,prob_C,prob_M,prob_X
solarflare_tcn_oversampled_logscaled_ws5.h5,0-4,C,2.658921305354056e-09,0.028954308480024338,0.9127192497253418,0.02302411198616028,0.03530231490731239
solarflare_tcn_oversampled_logscaled_ws5.h5,1-5,C,2.4489614780520697e-09,0.028333773836493492,0.8326299786567688,0.00028526020469143987,0.13875094056129456
solarflare_tcn_oversampled_logscaled_ws5.h5,2-6,C,3.3993041714808214e-10,0.03297622501850128,0.9347019791603088,0.010637791827321053,0.02168397419154644
solarflare_tcn_oversampled_logscaled_ws5.h5,3-7,C,3.8324167690007016e-05,0.12841156125068665,0.8182601928710938,0.044246360659599304,0.00904362928122282
solarflare_tcn_oversampled_logscaled_ws5.h5,4-8,M,3.44769013338464e-09,0.00828761886805296,0.13399094343185425,0.857539176940918,0.00018228718545287848
solarflare_tcn_oversampled_logscaled_ws5.h5,5-9,M,3.9231850379470604e-19,5.474898898683023e-06,0.0006077808211557567,0.9993866682052612,2.861427999927002e-13
solarflare_tcn_oversampled_logscaled_ws5.h5,6-10,C,3.807916826303881e-08,0.004635654389858246,0.7971970438957214,0.19816428422927856,2.9286834433150943e-06
solarflare_tcn_oversampled_logscaled_ws5.h5,7-11,X,2.565652664270772e-19,2.4074817694952344e-09,2.8150083153377636e-08,4.552700814373408e-22,1.0
solarflare_tcn_oversampled_logscaled_ws5.h5,8-12,C,1.9903312331592815e-10,0.12708218395709991,0.7252283096313477,0.14543938636779785,0.00225001759827137
solarflare_tcn_oversampled_logscaled_ws5.h5,9-13,C,3.2849827302783297e-09,0.09607759863138199,0.8657453060150146,0.034352127462625504,0.0038249322678893805
solarflare_tcn_oversampled_logscaled_ws5.h5,10-14,C,1.0899884728132747e-07,0.27712130546569824,0.6924871802330017,0.0008656642748974264,0.029525822028517723
solarflare_tcn_oversampled_logscaled_ws5.h5,11-15,C,9.682131540955652e-09,0.2466687113046646,0.7298219799995422,0.020492075011134148,0.003017241368070245
solarflare_tcn_oversampled_logscaled_ws5.h5,12-16,C,7.202092699998275e-09,0.10696607828140259,0.8647624850273132,0.025476565584540367,0.002794848755002022
solarflare_tcn_oversampled_logscaled_ws5.h5,13-17,C,5.003566627692635e-08,0.19192491471767426,0.6045867204666138,4.642224666895345e-05,0.20344197750091553
solarflare_tcn_oversampled_logscaled_ws5.h5,14-18,C,1.1403916921892687e-08,0.3520132601261139,0.6306629180908203,0.004922047723084688,0.012401756830513477
solarflare_tcn_oversampled_logscaled_ws5.h5,15-19,C,1.4778792412073471e-08,0.2609843909740448,0.735143780708313,0.00029216575785540044,0.0035796009469777346
solarflare_tcn_oversampled_logscaled_ws5.h5,16-20,C,2.6456755009007793e-08,0.4158545136451721,0.5777693390846252,0.0009767041774466634,0.005399384535849094
solarflare_tcn_oversampled_logscaled_ws5.h5,17-21,C,9.152162916414852e-10,0.14095252752304077,0.6957373023033142,0.163047656416893,0.00026251128292642534
solarflare_tcn_oversampled_logscaled_ws5.h5,18-22,C,1.4558165339906282e-08,0.11336155980825424,0.8029425144195557,0.08029989898204803,0.003396004671230912
solarflare_tcn_oversampled_logscaled_ws5.h5,19-23,C,2.371933334188725e-07,0.2865084707736969,0.6191003322601318,0.009107825346291065,0.08528310060501099
solarflare_tcn_oversampled_ws2.h5,0-1,No Flare,0.9696742296218872,0.025050612166523933,0.004994618706405163,0.00028035073773935437,1.1291692203485582e-07
solarflare_tcn_oversampled_ws2.h5,1-2,No Flare,0.9082942605018616,0.0777396410703659,0.012030527926981449,0.0019354299874976277,1.637571926949022e-07
solarflare_tcn_oversampled_ws2.h5,2-3,No Flare,0.7114190459251404,0.2376304268836975,0.03407859429717064,0.016870932653546333,1.0393321190349525e-06
solarflare_tcn_oversampled_ws2.h5,3-4,No Flare,0.5448707938194275,0.3871768116950989,0.0406205989420414,0.027330970391631126,8.25601432552503e-07
solarflare_tcn_oversampled_ws2.h5,4-5,B,0.4502616226673126,0.4817056357860565,0.05001420900225639,0.018017752096056938,8.469617114315042e-07
solarflare_tcn_oversampled_ws2.h5,5-6,B,0.3213293254375458,0.5537669658660889,0.08583206683397293,0.03906852379441261,3.055906972804223e-06
solarflare_tcn_oversampled_ws2.h5,6-7,No Flare,0.9999810457229614,1.8665265088202432e-05,2.9760519737465074e-07,3.914104873548041e-10,3.415520362197444e-13
solarflare_tcn_oversampled_ws2.h5,7-8,No Flare,0.9998207688331604,0.00017547934839967638,3.762173264476587e-06,2.793660918917751e-12,3.920593982797982e-08
solarflare_tcn_oversampled_ws2.h5,8-9,No Flare,0.997806966304779,0.002113807015120983,7.752399687888101e-05,1.7067441149265505e-06,1.8804879875489178e-10
solarflare_tcn_oversampled_ws2.h5,9-10,No Flare,0.7026277184486389,0.2841140329837799,0.009425908327102661,0.003832355374470353,2.952969246905468e-08
solarflare_tcn_oversampled_ws2.h5,10-11,No Flare,0.9173001646995544,0.07829034328460693,0.003192940726876259,0.0012165807420387864,5.188775986653127e-08
solarflare_tcn_oversampled_ws2.h5,11-12,B,0.2714221179485321,0.5530490875244141,0.05715477466583252,0.11837339401245117,5.665319804393221e-07
solarflare_tcn_oversampled_ws2.h5,12-13,No Flare,0.7728044390678406,0.20487987995147705,0.014175636693835258,0.008139897137880325,2.1252949977679236e-07
solarflare_tcn_oversampled_ws2.h5,13-14,No Flare,0.8214371204376221,0.16878612339496613,0.008631682954728603,0.001145071117207408,3.8778349420454106e-08
solarflare_tcn_oversampled_ws2.h5,14-15,No Flare,0.8862791061401367,0.10501956939697266,0.006628987845033407,0.0020724034402519464,4.227264582823409e-08
solarflare_tcn_oversampled_ws2.h5,15-16,No Flare,0.620396614074707,0.24926221370697021,0.0749095156788826,0.05542596057057381,5.66330845686025e-06
solarflare_tcn_oversampled_ws2.h5,16-17,No Flare,0.9920976161956787,0.007259974721819162,0.0006173706497065723,2.5073248252738267e-05,9.427738589806722e-09
solarflare_tcn_oversampled_ws2.h5,17-18,No Flare,0.9908536672592163,0.008389400318264961,0.0007327325874939561,2.4142698748619296e-05,1.3428074652210853e-08
solarflare_tcn_oversampled_ws2.h5,18-19,No Flare,0.9964375495910645,0.0033227065578103065,0.00023907600552774966,6.749914405190793e-07,3.1797549038259376e-09
solarflare_tcn_oversampled_ws2.h5,19-20,B,0.09704546630382538,0.8304094076156616,0.06434177607297897,0.008202223107218742,1.2187033462396357e-06
solarflare_tcn_oversampled_ws2.h5,20-21,No Flare,0.7125349640846252,0.2656284272670746,0.019229749217629433,0.0026059888768941164,8.746317803343118e-07
solarflare_tcn_oversampled_ws2.h5,21-22,B,0.11105028539896011,0.6824910640716553,0.10853065550327301,0.09791365265846252,1.4318645298772026e-05
